TagType;Level;ShortName;RTName;DataType;AccessRights;102;103
B;1;CU1256;;;
B;2;meteor;;;
B;3;header;;;
B;4;contexts;;;
B;5;Stargate;;;
B;3;contexts;;;
B;4;Stargate;;;
B;5;Stargate1;;;
L;6;fault_tip_cap_contr_3;S7:[1256]DB17,int246;2;RW;0;0
L;6;fault_tip_cap_contr_4;S7:[1256]DB17,int248;2;RW;0;0
L;6;fault_stopper_contr;S7:[1256]DB17,int250;2;RW;0;0
L;6;fault_stopper_contr_1;S7:[1256]DB17,int252;2;RW;0;0
L;6;fault_stopper_contr_2;S7:[1256]DB17,int254;2;RW;0;0
L;6;fault_stopper_contr_3;S7:[1256]DB17,int256;2;RW;0;0
L;6;fault_stopper_contr_4;S7:[1256]DB17,int258;2;RW;0;0
L;6;fault_standstill;S7:[1256]DB17,dint260;3;RW;0;0
L;6;fault_tunnel;S7:[1256]DB17,dint264;3;RW;0;0
L;6;fault_isol_filled;S7:[1256]DB17,dint268;3;RW;0;0
L;6;fault_isol_non_filled;S7:[1256]DB17,dint272;3;RW;0;0
L;6;fault_e_stop_filled;S7:[1256]DB17,dint276;3;RW;0;0
L;6;fault_e_stop_non_filled;S7:[1256]DB17,dint280;3;RW;0;0
L;6;total_waste_6;S7:[1256]DB17,dint284;3;RW;0;0
L;6;total_waste_7;S7:[1256]DB17,dint288;3;RW;0;0
L;6;total_waste_8;S7:[1256]DB17,dint296;3;RW;0;0
